Source,Target,Weight
805,253,1
805,1768,1
805,2115,1
805,1669,4
805,1812,1
805,2337,14
805,1586,3
810,193,3
810,9,2
810,193,3
818,358,1
820,820,1
822,822,1
828,1385,3
828,1522,1
828,1972,1
828,2339,1
828,2295,1
828,600,1
829,535,1
842,417,2
830,535,3
830,593,3
830,582,3
830,1444,4
834,1522,2
835,199,1
835,1358,1
838,27,1
838,440,1
838,1494,1
838,383,1
838,2188,1
838,1220,1
838,1715,1
838,535,1
840,1537,8
841,1444,1
841,101,1
841,2115,1
841,657,1
841,2115,1
843,536,30
844,1929,1
856,1768,1
856,335,1
856,261,2
856,1410,1
856,1444,1
856,666,1
856,459,1
856,431,1
856,776,1
856,1608,1
856,1103,1
853,2337,2
854,1267,2
854,66,5
855,1903,1
857,222,1
860,1221,1
860,1779,1
863,1215,2
864,1715,1
887,1185,4
886,358,343
886,2151,17
886,101,1
886,984,5
886,664,1
886,1385,3
888,140,1
888,1444,2
903,1522,31
903,1630,1
903,1460,1
974,1715,1
893,1895,9
893,2050,4
893,1670,4
893,1460,34
894,1171,1
895,1114,1
895,216,1
896,0,3
899,899,2
900,358,2
907,1452,1
908,2267,1
913,2206,4
917,1538,1
917,672,1
917,755,1
917,1051,1
917,352,1
917,755,2
917,1976,2
917,1448,1
917,1235,2
917,1715,1
920,1522,1
920,342,1
920,892,1
920,1522,1
919,949,1
921,1527,9
923,76,1
922,1699,22
922,1182,4
926,1705,1
932,2354,1
938,565,2
938,1724,2
939,195,1
946,751,2
947,1248,1
947,2143,1
948,1355,1
950,2096,1
962,57,9
968,249,1
968,664,1
971,267,1
976,1715,1
976,2115,1
976,358,1
976,212,1
976,431,1
978,431,2
978,1385,1
978,2337,1
978,839,3
988,988,1
1004,296,2
1004,1501,1
1008,593,1
1050,657,1
991,1522,1
996,1139,1
1001,507,1
1001,0,1
1001,600,1
1006,440,2
1006,535,2
1006,755,1
1006,1779,1
1006,1221,1
1006,758,1
1006,755,1
1006,2139,1
1006,125,1
1006,535,1
1006,2115,1
1006,1514,1
1006,2143,1
1006,125,1
1006,2337,4
1006,2127,2
